# [1]Indel length	[2]Count
-60	2489
-59	49
-58	75
-57	67
-56	113
-55	56
-54	124
-53	64
-52	120
-51	86
-50	160
-49	149
-48	214
-47	114
-46	169
-45	125
-44	225
-43	121
-42	224
-41	147
-40	406
-39	173
-38	317
-37	214
-36	460
-35	276
-34	406
-33	262
-32	678
-31	338
-30	793
-29	359
-28	912
-27	499
-26	918
-25	719
-24	1538
-23	660
-22	1256
-21	832
-20	2553
-19	961
-18	2261
-17	1236
-16	3820
-15	2440
-14	3650
-13	2116
-12	7817
-11	2790
-10	7813
-9	4366
-8	13635
-7	5566
-6	16427
-5	15126
-4	50808
-3	35054
-2	92398
-1	230694
1	234482
2	91752
3	33320
4	48400
5	14223
6	15932
7	5327
8	13658
9	4122
10	7436
11	2595
12	7429
13	1974
14	3383
15	2187
16	3751
17	1084
18	2259
19	918
20	2484
21	837
22	1228
23	617
24	1507
25	657
26	822
27	488
28	955
29	350
30	738
31	306
32	602
33	253
34	390
35	265
36	431
37	220
38	256
39	152
40	380
41	139
42	207
43	132
44	173
45	121
46	151
47	113
48	192
49	131
50	153
51	89
52	137
53	89
54	130
55	72
56	116
57	75
58	93
59	59
60	2894
