# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.066971	0.066971
2	0.375237	0.308266
3	0.644767	0.269530
4	0.901127	0.256360
5	1.143930	0.242803
6	1.386385	0.242455
7	1.616734	0.230349
8	1.848668	0.231934
9	2.076077	0.227409
10	2.307876	0.231799
11	2.538244	0.230368
12	2.775013	0.236769
13	3.013658	0.238645
14	3.254276	0.240618
15	3.502397	0.248121
16	3.752549	0.250152
17	4.005447	0.252898
18	4.255212	0.249765
19	4.508284	0.253072
20	4.768744	0.260460
21	5.028894	0.260150
22	5.303684	0.274790
23	5.576888	0.273204
24	5.857422	0.280534
25	6.141031	0.283609
26	6.436146	0.295115
27	6.736406	0.300260
28	7.044885	0.308479
29	7.355356	0.310471
30	7.672402	0.317046
31	8.000123	0.327721
32	8.335696	0.335573
33	8.678096	0.342400
34	9.033840	0.355744
35	9.396004	0.362164
36	9.776289	0.380285
37	10.172336	0.396047
38	10.591377	0.419041
39	11.032522	0.441145
40	11.498712	0.466190
41	11.990159	0.491447
42	12.528638	0.538479
43	13.095604	0.566966
44	13.720916	0.625312
45	14.396297	0.675381
46	15.130218	0.733921
47	15.933528	0.803310
48	16.811274	0.877746
49	17.773706	0.962432
50	18.834478	1.060772
51	19.979588	1.145110
52	21.238992	1.259404
53	22.613426	1.374434
54	24.115343	1.501917
55	25.735152	1.619809
56	27.473065	1.737913
57	29.338172	1.865107
58	31.327687	1.989515
59	33.432580	2.104893
60	35.675303	2.242723
61	38.014354	2.339051
62	40.456000	2.441646
63	42.980572	2.524572
64	45.571148	2.590576
65	48.225021	2.653873
66	50.928132	2.703111
67	53.645399	2.717267
68	56.356594	2.711195
69	59.069258	2.712664
70	61.749761	2.680503
71	64.375070	2.625309
72	66.939442	2.564372
73	69.415144	2.475702
74	71.815520	2.400376
75	74.098836	2.283316
76	76.277063	2.178227
77	78.329179	2.052116
78	80.248841	1.919662
79	82.048794	1.799953
80	83.713238	1.664444
81	85.245479	1.532241
82	86.656212	1.410733
83	87.935632	1.279420
84	89.099965	1.164333
85	90.150951	1.050986
86	91.093251	0.942300
87	91.932203	0.838952
88	92.679874	0.747671
89	93.354482	0.674608
90	93.934850	0.580368
91	94.453642	0.518792
92	94.900067	0.446425
93	95.291414	0.391347
94	95.635806	0.344392
95	95.935002	0.299196
96	96.191420	0.256418
97	96.414729	0.223309
98	96.607966	0.193237
99	96.779891	0.171925
100	96.927197	0.147306
101	97.055822	0.128625
102	97.168705	0.112883
103	97.269771	0.101066
104	97.357397	0.087626
105	97.436920	0.079523
106	97.507643	0.070723
107	97.572642	0.064999
108	97.630543	0.057901
109	97.682739	0.052196
110	97.731532	0.048793
111	97.776998	0.045466
112	97.820453	0.043455
113	97.859924	0.039471
114	97.898370	0.038446
115	97.933819	0.035449
116	97.968823	0.035004
117	98.001932	0.033109
118	98.032952	0.031020
119	98.063933	0.030981
120	98.092574	0.028641
121	98.122163	0.029589
122	98.150476	0.028313
123	98.177106	0.026630
124	98.202440	0.025334
125	98.229341	0.026901
126	98.254192	0.024851
127	98.279294	0.025102
128	98.303042	0.023748
129	98.325882	0.022840
130	98.350636	0.024754
131	98.373301	0.022665
132	98.396005	0.022704
133	98.419483	0.023478
134	98.442535	0.023052
135	98.463151	0.020616
136	98.484385	0.021234
137	98.506103	0.021718
138	98.527047	0.020944
139	98.546638	0.019591
140	98.566499	0.019861
141	98.585490	0.018991
142	98.604674	0.019184
143	98.623549	0.018875
144	98.641070	0.017521
145	98.658379	0.017309
146	98.676171	0.017792
147	98.693634	0.017463
148	98.710846	0.017212
149	98.727806	0.016960
150	98.744747	0.016941
151	98.760218	0.015471
152	98.776250	0.016032
153	98.791277	0.015027
154	98.808025	0.016748
155	98.822645	0.014620
156	98.836453	0.013808
157	98.849797	0.013344
158	98.862909	0.013112
159	98.876562	0.013653
160	98.889809	0.013247
161	98.902457	0.012648
162	98.915646	0.013189
163	98.928758	0.013112
164	98.940323	0.011565
165	98.952449	0.012126
166	98.964188	0.011739
167	98.975308	0.011120
168	98.986621	0.011313
169	98.997528	0.010907
170	99.008803	0.011275
