# [1]Indel length	[2]Mean VAF
-60	0.58
-59	0.53
-58	0.59
-57	0.59
-56	0.61
-55	0.63
-54	0.61
-53	0.58
-52	0.57
-51	0.55
-50	0.57
-49	0.58
-48	0.60
-47	0.62
-46	0.63
-45	0.63
-44	0.61
-43	0.60
-42	0.63
-41	0.60
-40	0.59
-39	0.61
-38	0.62
-37	0.64
-36	0.63
-35	0.58
-34	0.65
-33	0.62
-32	0.65
-31	0.65
-30	0.63
-29	0.61
-28	0.62
-27	0.61
-26	0.65
-25	0.63
-24	0.63
-23	0.63
-22	0.64
-21	0.64
-20	0.63
-19	0.65
-18	0.65
-17	0.65
-16	0.62
-15	0.63
-14	0.64
-13	0.65
-12	0.62
-11	0.66
-10	0.62
-9	0.64
-8	0.62
-7	0.66
-6	0.63
-5	0.63
-4	0.63
-3	0.64
-2	0.64
-1	0.68
1	0.67
2	0.63
3	0.64
4	0.63
5	0.63
6	0.59
7	0.60
8	0.58
9	0.60
10	0.57
11	0.60
12	0.57
13	0.61
14	0.56
15	0.59
16	0.56
17	0.61
18	0.55
19	0.60
20	0.57
21	0.61
22	0.56
23	0.59
24	0.58
25	0.61
26	0.58
27	0.64
28	0.58
29	0.64
30	0.58
31	0.64
32	0.58
33	0.65
34	0.59
35	0.58
36	0.60
37	0.67
38	0.62
39	0.60
40	0.58
41	0.66
42	0.64
43	0.64
44	0.62
45	0.58
46	0.59
47	0.66
48	0.60
49	0.69
50	0.63
51	0.64
52	0.65
53	0.68
54	0.58
55	0.62
56	0.65
57	0.64
58	0.66
59	0.66
60	0.64
